Employee #|Last Name|First Name|Birthday|Address|Phone Number|SSS #|Philhealth #|TIN #|Pag-ibig #|Status|Position|Immediate Supervisor|Basic Salary|Rice Subsidy|Phone Allowance|Clothing Allowance|Gross Semi-monthly Rate|Hourly Rate
10001|Crisostomo|Jose|14-Feb-88|"17/85 Stracke Via Suite 042, Poblacion, Las Pi?as 4783 Dinagat Islands "|918-621-603|49-1632020-8|3.82189E+11|317-674-022-000|4.41093E+11|Regular|HR Manager|N/A|62,670|1,500|1,000|1,000|31,335|373.04
10002|Mata|Christian|21-Oct-87|"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu "|783-776-744|49-2959312-6|8.24188E+11|103-100-522-000|6.31053E+11|Regular|Account Team Leader|Romualdez, Fredrick|42,975|1,500|800|800|21,488|255.8
10003|San Jose|"Brad "|15-Mar-96|99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi|797-009-261|40-2400714-1|2.39193E+11|672-474-690-000|2.1085E+11|Regular|HR Team Leader|Crisostomo, Jose|42,975|1,500|800|800|21,488|255.8
10004|Salcedo|Anthony|14-Sep-93|93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate|070-766-300|26-9647608-3|1.26445E+11|210-805-911-000|2.18002E+11|Regular|Payroll Manager|Crisostomo, Jose|60,825|1,500|1,000|1,000|30,413|362.05
10005|Romualdez|Alice|14-May-92|"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte "|983-606-799|55-4476527-2|5.45653E+11|888-572-294-000|2.11386E+11|Regular|HR Rank and File|San Jose, Brad|22,500|1,500|500|500|11,250|133.93
10006|Atienza|"Rosie "|24-Sep-48|90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte|266-036-427|41-0644692-3|7.08988E+11|604-997-793-000|2.60108E+11|Regular|HR Rank and File|San Jose, Brad|22,500|1,500|500|500|11,250|133.93
10007|Farala|Martha|11-Jan-42|"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte "|329-034-366|45-5656375-0|2.33694E+11|210-835-851-000|6.3113E+11|Regular|Payroll Rank and File|Farala, Martha|24,000|1,500|500|500|12,000|142.86
10008|Martinez|Leila|11-Jul-70|"37/46 Kulas Roads, Maragondon 0962 Quirino "|877-110-749|27-2090996-4|5.15741E+11|275-792-513-000|1.01205E+11|Regular|Payroll Rank and File|Farala, Martha|24,000|1,500|500|500|12,000|142.86
10009|San Jose|"Allison "|24-Jun-86|08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union|179-075-129|45-3251383-0|7.45148E+11|121-203-336-000|1.14902E+11|Regular|Account Rank and File|Mata, Christian|22,500|1,500|500|500|11,250|133.93
10010|Rosario|"Cydney "|06-Oct-96|93A/21 Berge Points, Tapaz 2180 Quezon|868-819-912|49-1629900-2|5.79253E+11|122-244-511-000|2.65104E+11|Regular|Account Rank and File|Mata, Christian|22,500|1,500|500|500|11,250|133.93
